66-dir KCL b2600
1.00000 0.00000 0.00000 0.000
0.88352 0.17237 -0.43553 2600.000
0.36443 -0.84753 0.38585 2600.000
0.62217 -0.22037 0.75122 1000.000
-0.41703 -0.56219 -0.71416 2600.000
-0.38002 0.58720 0.71469 2600.000
0.05946 0.33310 -0.94102 2600.000
-0.66801 -0.55440 0.49639 1000.000
0.97107 -0.08733 0.22224 2600.000
-0.50050 -0.86223 -0.07780 2600.000
0.63362 -0.19098 0.74970 2600.000
0.08498 0.78580 0.61261 1000.000
0.74493 -0.65209 -0.14089 2600.000
-0.41262 -0.73942 0.53197 2600.000
0.19336 -0.95877 -0.20827 2600.000
1.00000 0.00000 0.00000 1.000
-0.35094 -0.05400 0.93484 2600.000
0.75035 0.42993 0.50214 2600.000
-0.65537 0.59412 0.46638 1000.000
-0.81411 0.16103 0.55793 2600.000
-0.22049 0.68687 -0.69253 2600.000
0.21818 0.32404 0.92054 2600.000
-0.10831 0.83269 -0.54304 1000.000
-0.88991 -0.42464 0.16653 2600.000
-0.21121 -0.83794 -0.50323 2600.000
-0.81858 0.34028 -0.46274 2600.000
-0.78646 -0.40591 -0.46553 1000.000
-0.09503 0.98467 -0.14627 2600.000
0.18999 -0.33011 -0.92463 2600.000
1.00000 0.00000 0.00000 2.000
0.42732 0.42095 -0.80012 2600.000
0.92140 -0.30364 -0.24254 2600.000
0.58767 -0.07379 -0.80573 1000.000
0.78007 0.61047 0.13720 2600.000
-0.35715 0.03036 -0.93355 2600.000
0.68598 -0.67532 0.27085 2600.000
-0.29279 -0.93071 0.21919 2600.000
0.99195 0.05452 -0.11426 1000.000
-0.14889 0.82688 0.54232 2600.000
-0.83903 -0.05990 -0.54078 2600.000
-0.69599 0.50693 0.50854 2600.000
1.00000 0.00000 0.00000 3.000
0.69639 0.48300 -0.53080 2600.000
0.26092 -0.96362 -0.05790 1000.000
0.30096 -0.38324 0.87324 2600.000
-0.47808 0.87804 -0.02194 2600.000
-0.99239 -0.03738 0.11734 2600.000
-0.15268 -0.26547 -0.95195 1000.000
0.54334 -0.25223 -0.80072 2600.000
0.03180 0.87688 -0.47965 2600.000
0.54497 0.73034 0.41185 2600.000
0.58706 0.22200 0.77851 2600.000
0.47944 0.87685 0.03566 1000.000
0.65229 0.72078 -0.23450 2600.000
-0.02921 -0.61615 -0.78709 2600.000
1.00000 0.00000 0.00000 4.000
-0.55724 0.55793 -0.61498 2600.000
-0.65842 -0.13479 0.74048 2600.000
-0.81074 0.54282 -0.21917 1000.000
0.16573 0.97285 0.16156 2600.000
-0.90167 0.42074 -0.09983 2600.000
-0.13188 -0.63784 0.75879 2600.000
-0.08777 -0.36738 0.92592 1000.000
-0.93885 -0.27948 -0.20112 2600.000
0.48916 -0.78705 -0.37587 2600.000
0.00478 0.01867 0.99981 2600.000
